Feature native-country, precision: 1.0, fbeta: 1.0, recall: 1.0 
Feature native-country, precision: 1.0, fbeta: 1.0, recall: 1.0 
Feature native-country, precision: 1.0, fbeta: 1.0, recall: 1.0 
Feature native-country, precision: 1.0, fbeta: 1.0, recall: 1.0 
Feature native-country, precision: 0.0, fbeta: 1.0, recall: 0.0 
Feature native-country, precision: 0.0, fbeta: 1.0, recall: 0.0 
Feature native-country, precision: 1.0, fbeta: 1.0, recall: 1.0 
Feature native-country, precision: 1.0, fbeta: 1.0, recall: 1.0 
Feature native-country, precision: 0.5, fbeta: 1.0, recall: 0.3333333333333333 
Feature native-country, precision: 1.0, fbeta: 1.0, recall: 1.0 
Feature native-country, precision: 0.0, fbeta: 1.0, recall: 0.0 
Feature native-country, precision: 1.0, fbeta: 1.0, recall: 1.0 
Feature native-country, precision: 1.0, fbeta: 1.0, recall: 1.0 
Feature native-country, precision: 1.0, fbeta: 1.0, recall: 1.0 
Feature native-country, precision: 0.0, fbeta: 1.0, recall: 0.0 
Feature native-country, precision: 1.0, fbeta: 1.0, recall: 1.0 
Feature native-country, precision: 1.0, fbeta: 1.0, recall: 1.0 
Feature native-country, precision: 1.0, fbeta: 1.0, recall: 1.0 
Feature native-country, precision: 1.0, fbeta: 1.0, recall: 1.0 
Feature native-country, precision: 1.0, fbeta: 1.0, recall: 1.0 
Feature native-country, precision: 1.0, fbeta: 1.0, recall: 1.0 
